,date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography,month,other_plu
39,2015-01-04,1.63,1780,76,874,0,829.39,542.89,286.5,0.0,organic,2015,Indianapolis,1,830
40,2015-01-04,0.97,153506,105203,19147,468,28686.57,13653.15,15033.42,0.0,conventional,2015,Jacksonville,1,28688
41,2015-01-04,1.81,1381,803,47,6,523.33,523.33,0.0,0.0,organic,2015,Jacksonville,1,525
42,2015-01-04,0.8,317861,134003,120628,4591,58638.68,58126.59,512.09,0.0,conventional,2015,Las Vegas,1,58639
43,2015-01-04,1.5,6329,3730,2141,0,457.12,426.67,30.45,0.0,organic,2015,Las Vegas,1,458
44,2015-01-04,0.85,2682159,1837999,524430,64225,255504.05,215571.8,36981.72,2950.53,conventional,2015,Los Angeles,1,255505
45,2015-01-04,1.25,54495,47721,1723,0,5050.63,5050.63,0.0,0.0,organic,2015,Los Angeles,1,5051
46,2015-01-04,0.92,101162,1991,75090,283,23797.31,7769.36,16027.95,0.0,conventional,2015,Louisville,1,23798
47,2015-01-04,1.48,1395,12,824,0,558.7,478.15,80.55,0.0,organic,2015,Louisville,1,559
48,2015-01-04,0.97,540234,398670,54844,39,86680.79,38505.18,48175.61,0.0,conventional,2015,Miami/Ft. Lauderdale,1,86681
49,2015-01-04,1.82,2288,1438,53,0,796.67,796.67,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,1,797
50,2015-01-04,1.1,2578275,575245,1311502,181058,510468.5,429166.89,80986.81,314.8,conventional,2015,Midsouth,1,510470
51,2015-01-04,1.56,58065,10049,25228,3672,19114.43,17280.89,1833.54,0.0,organic,2015,Midsouth,1,19116
52,2015-01-04,1.0,162162,113865,11083,11699,25514.31,19681.13,5611.51,221.67,conventional,2015,Nashville,1,25515
53,2015-01-04,1.84,3966,244,2700,76,945.43,838.34,107.09,0.0,organic,2015,Nashville,1,946
54,2015-01-04,0.94,222751,148384,14085,218,60062.94,54422.22,5640.72,0.0,conventional,2015,New Orleans/Mobile,1,60064
55,2015-01-04,1.41,2604,220,23,0,2360.0,2360.0,0.0,0.0,organic,2015,New Orleans/Mobile,1,2361
56,2015-01-04,1.09,1402890,23641,1127882,1871,249495.69,178683.01,70812.68,0.0,conventional,2015,New York,1,249496
57,2015-01-04,1.93,17328,2357,12692,9,2269.38,2269.38,0.0,0.0,organic,2015,New York,1,2270
58,2015-01-04,1.09,3759282,126640,2860709,7580,764351.66,669970.5,94381.16,0.0,conventional,2015,Northeast,1,764353
59,2015-01-04,1.88,48280,4476,22389,23,21391.49,21379.79,11.7,0.0,organic,2015,Northeast,1,21392
60,2015-01-04,1.05,321823,4966,264351,14,52490.37,52490.37,0.0,0.0,conventional,2015,Northern New England,1,52492
61,2015-01-04,1.83,7301,6,630,0,6664.25,6664.25,0.0,0.0,organic,2015,Northern New England,1,6665
62,2015-01-04,1.0,281803,190743,38265,75,52719.49,19933.7,32785.79,0.0,conventional,2015,Orlando,1,52720
63,2015-01-04,1.8,2057,1200,53,0,803.33,803.33,0.0,0.0,organic,2015,Orlando,1,804
64,2015-01-04,1.1,407675,24190,294715,2121,86647.87,72829.94,13817.93,0.0,conventional,2015,Philadelphia,1,86649
65,2015-01-04,1.72,3788,384,1597,11,1794.91,1794.91,0.0,0.0,organic,2015,Philadelphia,1,1796
66,2015-01-04,0.65,1048062,770635,178418,6509,92499.06,92499.06,0.0,0.0,conventional,2015,Phoenix/Tucson,1,92500
67,2015-01-04,1.12,17296,14569,1868,0,858.6,830.0,28.6,0.0,organic,2015,Phoenix/Tucson,1,859
68,2015-01-04,1.52,54956,3013,35456,1561,14925.18,11264.8,3660.38,0.0,conventional,2015,Pittsburgh,1,14926
69,2015-01-04,1.81,1339,754,124,0,461.03,447.01,14.02,0.0,organic,2015,Pittsburgh,1,461
70,2015-01-04,1.01,1683795,1027842,466641,10476,178834.99,177360.2,440.57,1034.22,conventional,2015,Plains,1,178836
71,2015-01-04,1.69,34190,3874,14945,32,15338.27,13793.22,1545.05,0.0,organic,2015,Plains,1,15339
72,2015-01-04,0.97,599965,126485,377138,19781,76559.75,61308.73,15251.02,0.0,conventional,2015,Portland,1,76561
73,2015-01-04,1.28,32927,17580,11685,3,3658.63,613.33,3045.3,0.0,organic,2015,Portland,1,3659
74,2015-01-04,1.2,221086,53316,72178,39928,55663.83,44040.64,11623.19,0.0,conventional,2015,Raleigh/Greensboro,1,55664
75,2015-01-04,2.01,3397,58,1493,772,1072.67,993.94,78.73,0.0,organic,2015,Raleigh/Greensboro,1,1074
76,2015-01-04,1.13,182697,56293,80396,9762,36245.72,31778.36,4467.36,0.0,conventional,2015,Richmond/Norfolk,1,36246
77,2015-01-04,1.54,4212,238,1678,372,1922.3,1570.28,352.02,0.0,organic,2015,Richmond/Norfolk,1,1924
78,2015-01-04,1.13,109215,48285,37562,34,23332.97,21582.97,1750.0,0.0,conventional,2015,Roanoke,1,23334
79,2015-01-04,1.39,4414,56,2760,0,1597.26,1139.42,457.84,0.0,organic,2015,Roanoke,1,1598
80,2015-01-04,1.05,430138,110693,270107,9737,39600.08,39600.08,0.0,0.0,conventional,2015,Sacramento,1,39601
81,2015-01-04,1.33,9213,3727,4327,0,1158.45,1158.45,0.0,0.0,organic,2015,Sacramento,1,1159
82,2015-01-04,0.94,461607,244152,165299,15302,36852.99,30884.29,5595.0,373.7,conventional,2015,San Diego,1,36854
83,2015-01-04,1.23,19089,17522,735,2,828.81,828.81,0.0,0.0,organic,2015,San Diego,1,830
84,2015-01-04,0.99,907795,179507,637000,8803,82484.31,82033.71,444.44,6.16,conventional,2015,San Francisco,1,82485
85,2015-01-04,1.18,22630,13175,9028,0,426.67,426.67,0.0,0.0,organic,2015,San Francisco,1,427
86,2015-01-04,0.97,634522,165839,341836,15291,111554.96,96695.27,14859.69,0.0,conventional,2015,Seattle,1,111556
87,2015-01-04,1.49,33795,6821,20720,1,6252.15,452.73,5799.42,0.0,organic,2015,Seattle,1,6253
88,2015-01-04,1.01,309024,180977,46253,12923,68870.22,52556.0,16314.22,0.0,conventional,2015,South Carolina,1,68871
89,2015-01-04,1.86,3351,355,754,439,1802.0,1768.67,33.33,0.0,organic,2015,South Carolina,1,1803
90,2015-01-04,0.77,5144267,2745009,1755142,73432,570682.81,442217.85,128451.37,13.59,conventional,2015,South Central,1,570684
91,2015-01-04,1.35,53494,24139,8586,0,20768.73,20622.28,146.45,0.0,organic,2015,South Central,1,20769
92,2015-01-04,0.98,3204112,2296069,320373,18938,568730.84,287820.14,280910.7,0.0,conventional,2015,Southeast,1,568732
93,2015-01-04,1.75,27365,9307,3844,615,13598.46,13061.1,537.36,0.0,organic,2015,Southeast,1,13599
94,2015-01-04,1.0,84612,26607,44341,3660,10002.54,9556.06,446.48,0.0,conventional,2015,Spokane,1,10004
95,2015-01-04,1.3,5782,723,4221,0,838.26,223.33,614.93,0.0,organic,2015,Spokane,1,838
96,2015-01-04,1.15,198735,125713,34555,53,38412.1,38400.99,11.11,0.0,conventional,2015,St. Louis,1,38414
97,2015-01-04,1.8,3597,1552,1521,0,523.33,523.33,0.0,0.0,organic,2015,St. Louis,1,524
98,2015-01-04,1.33,41143,2506,20905,16,17715.21,17715.21,0.0,0.0,conventional,2015,Syracuse,1,17716
99,2015-01-04,1.72,593,0,102,0,490.68,490.68,0.0,0.0,organic,2015,Syracuse,1,491
100,2015-01-04,0.97,339909,226346,37517,53,75991.75,33447.51,42544.24,0.0,conventional,2015,Tampa,1,75993
101,2015-01-04,1.7,1885,748,30,0,1106.67,1106.67,0.0,0.0,organic,2015,Tampa,1,1107
102,2015-01-04,0.95,31324277,12357161,13624083,844093,4498940.02,3585321.58,894945.63,18672.81,conventional,2015,Total U.S.,1,4498940
103,2015-01-04,1.46,612910,233286,216611,4370,158641.83,115068.71,43573.12,0.0,organic,2015,Total U.S.,1,158643
104,2015-01-04,0.89,5794410,2275446,2582300,97024,839638.97,688813.01,150819.57,6.39,conventional,2015,West,1,839640
105,2015-01-04,1.4,187548,70313,72942,24,44268.18,10023.72,34244.46,0.0,organic,2015,West,1,44269
106,2015-01-04,0.75,758118,426878,147958,15267,168013.76,165202.22,2811.54,0.0,conventional,2015,West Tex/New Mexico,1,168015
107,2015-01-04,1.64,6182,1561,2958,0,1663.34,1663.34,0.0,0.0,organic,2015,West Tex/New Mexico,1,1663
108,2015-01-11,1.24,41195,1002,31640,127,8424.77,8036.04,388.73,0.0,conventional,2015,Albany,1,8426
109,2015-01-11,1.77,1182,39,305,0,838.44,838.44,0.0,0.0,organic,2015,Albany,1,838
110,2015-01-11,1.11,397542,330411,18958,1135,47038.08,21309.61,25728.47,0.0,conventional,2015,Atlanta,1,47038
111,2015-01-11,1.84,3743,1613,1207,0,922.41,865.0,57.41,0.0,organic,2015,Atlanta,1,923
112,2015-01-11,1.17,670231,51460,420837,42526,155406.52,151330.87,4075.65,0.0,conventional,2015,Baltimore/Washington,1,155408
113,2015-01-11,1.22,26008,12258,7094,490,6165.85,6165.85,0.0,0.0,organic,2015,Baltimore/Washington,1,6166
114,2015-01-11,1.18,57355,38112,10997,3321,4923.75,3295.11,1628.64,0.0,conventional,2015,Boise,1,4925
115,2015-01-11,1.44,2378,0,1923,0,455.28,170.0,285.28,0.0,organic,2015,Boise,1,455
116,2015-01-11,1.1,437771,5548,320577,121,111524.61,111192.88,331.73,0.0,conventional,2015,Boston,1,111525
117,2015-01-11,1.94,2217,12,956,0,1248.93,1248.93,0.0,0.0,organic,2015,Boston,1,1249
118,2015-01-11,1.54,106221,1642,50985,79,53514.26,53514.26,0.0,0.0,conventional,2015,Buffalo/Rochester,1,53515
119,2015-01-11,1.59,2078,0,143,0,1934.98,1934.98,0.0,0.0,organic,2015,Buffalo/Rochester,1,1935
120,2015-01-11,0.92,6024932,2889591,2485720,103573,546047.53,510560.41,31874.03,3613.09,conventional,2015,California,1,546048
121,2015-01-11,1.1,158110,123712,25975,1,8421.43,8421.43,0.0,0.0,organic,2015,California,1,8422
122,2015-01-11,1.26,159942,31586,38118,40801,49435.79,38822.26,10613.53,0.0,conventional,2015,Charlotte,1,49437
123,2015-01-11,2.29,2390,155,969,832,431.78,431.78,0.0,0.0,organic,2015,Charlotte,1,434
124,2015-01-11,1.15,802874,31239,558487,133848,79298.64,74716.43,4539.25,42.96,conventional,2015,Chicago,1,79300
125,2015-01-11,1.79,12915,1426,10900,0,588.89,588.89,0.0,0.0,organic,2015,Chicago,1,589
126,2015-01-11,0.92,201392,3612,153100,1203,43475.66,17035.73,26345.43,94.5,conventional,2015,Cincinnati/Dayton,1,43477
127,2015-01-11,1.32,11313,209,10352,0,752.08,310.62,441.46,0.0,organic,2015,Cincinnati/Dayton,1,752
128,2015-01-11,0.97,125742,64726,34844,7190,18981.23,16400.27,2458.67,122.29,conventional,2015,Columbus,1,18982
129,2015-01-11,1.68,4193,349,3226,0,617.42,416.25,201.17,0.0,organic,2015,Columbus,1,618
130,2015-01-11,0.76,1128693,680572,348535,11900,87684.88,67857.83,19801.95,25.1,conventional,2015,Dallas/Ft. Worth,1,87686
131,2015-01-11,1.35,12126,7136,1353,0,3636.67,3636.67,0.0,0.0,organic,2015,Dallas/Ft. Worth,1,3637
132,2015-01-11,1.09,666579,110974,427723,5357,122524.21,85793.27,36703.98,26.96,conventional,2015,Denver,1,122525
133,2015-01-11,1.28,30682,8855,15070,24,6731.23,1699.95,5031.28,0.0,organic,2015,Denver,1,6733
134,2015-01-11,1.08,332165,108378,90104,76985,56696.63,48639.13,620.82,7436.68,conventional,2015,Detroit,1,56698
135,2015-01-11,1.87,6926,417,5637,0,871.26,329.5,541.76,0.0,organic,2015,Detroit,1,872
136,2015-01-11,1.03,185135,972,127984,13798,42379.3,39193.44,2896.97,288.89,conventional,2015,Grand Rapids,1,42381
137,2015-01-11,1.87,761,29,539,0,193.08,190.0,3.08,0.0,organic,2015,Grand Rapids,1,193
138,2015-01-11,1.1,3067638,416900,1818618,316856,515263.25,412976.97,91214.54,11071.74,conventional,2015,Great Lakes,1,515264
139,2015-01-11,1.69,58061,4362,44552,0,9146.94,7266.75,1880.19,0.0,organic,2015,Great Lakes,1,9147
140,2015-01-11,1.26,178735,34535,78778,582,64838.42,63840.09,998.33,0.0,conventional,2015,Harrisburg/Scranton,1,64840
141,2015-01-11,1.65,3882,90,288,0,3504.58,3504.58,0.0,0.0,organic,2015,Harrisburg/Scranton,1,3504
142,2015-01-11,1.38,232640,4365,143001,223,85049.89,83319.8,1730.09,0.0,conventional,2015,Hartford/Springfield,1,85051
143,2015-01-11,2.28,3463,79,3190,0,193.33,193.33,0.0,0.0,organic,2015,Hartford/Springfield,1,194
144,2015-01-11,0.78,1062071,463272,441785,4094,152918.86,126995.76,25923.1,0.0,conventional,2015,Houston,1,152920
145,2015-01-11,1.26,7561,6142,818,0,600.0,600.0,0.0,0.0,organic,2015,Houston,1,601
146,2015-01-11,1.25,138617,3024,100509,1771,33310.48,18466.87,14765.56,78.05,conventional,2015,Indianapolis,1,33313
147,2015-01-11,1.83,1410,95,921,0,393.06,357.75,35.31,0.0,organic,2015,Indianapolis,1,394
148,2015-01-11,1.2,99757,57635,17025,529,24566.54,14862.7,9703.84,0.0,conventional,2015,Jacksonville,1,24568
149,2015-01-11,1.91,1248,978,24,5,240.0,240.0,0.0,0.0,organic,2015,Jacksonville,1,241
150,2015-01-11,0.93,274481,126092,101653,9591,37144.36,36874.44,269.92,0.0,conventional,2015,Las Vegas,1,37145
151,2015-01-11,1.54,6144,4027,2083,0,33.33,33.33,0.0,0.0,organic,2015,Las Vegas,1,34
152,2015-01-11,0.85,2713699,1786326,617233,58892,251246.65,222971.68,25111.74,3163.23,conventional,2015,Los Angeles,1,251248
153,2015-01-11,1.08,60232,52087,2063,0,6081.88,6081.88,0.0,0.0,organic,2015,Los Angeles,1,6082
154,2015-01-11,1.05,75129,2299,53313,237,19278.0,7964.88,11299.66,13.46,conventional,2015,Louisville,1,19280
155,2015-01-11,1.79,1435,0,1219,0,216.46,173.93,42.53,0.0,organic,2015,Louisville,1,216
156,2015-01-11,1.28,342796,242922,36043,38,63792.34,35069.71,28722.63,0.0,conventional,2015,Miami/Ft. Lauderdale,1,63793
157,2015-01-11,1.85,1614,1091,49,0,473.33,473.33,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,1,474
158,2015-01-11,1.17,2335986,560119,1032606,191515,551745.27,465764.93,85966.27,14.07,conventional,2015,Midsouth,1,551746
159,2015-01-11,1.52,65483,14570,30445,3170,17296.48,16715.45,581.03,0.0,organic,2015,Midsouth,1,17298
160,2015-01-11,1.07,149832,103822,9098,11665,25244.96,22478.92,2766.04,0.0,conventional,2015,Nashville,1,25247
161,2015-01-11,1.92,2892,204,2168,80,438.65,435.54,3.11,0.0,organic,2015,Nashville,1,440
162,2015-01-11,0.97,239232,165505,10680,231,62815.17,59593.91,3221.26,0.0,conventional,2015,New Orleans/Mobile,1,62816
163,2015-01-11,1.44,1492,233,15,0,1243.33,1243.33,0.0,0.0,organic,2015,New Orleans/Mobile,1,1244
164,2015-01-11,1.34,1018225,15880,714530,2315,285498.61,221731.33,63767.28,0.0,conventional,2015,New York,1,285500
165,2015-01-11,2.03,14817,1744,10901,60,2111.17,2111.17,0.0,0.0,organic,2015,New York,1,2112
166,2015-01-11,1.28,3056024,97343,2070661,6915,881104.32,796190.93,84913.39,0.0,conventional,2015,Northeast,1,881105
167,2015-01-11,1.86,50079,3611,20043,65,26358.42,26332.17,26.25,0.0,organic,2015,Northeast,1,26360
168,2015-01-11,1.06,314717,4578,265252,22,44863.79,44863.79,0.0,0.0,conventional,2015,Northern New England,1,44865
169,2015-01-11,1.88,6485,1,590,0,5894.15,5894.15,0.0,0.0,organic,2015,Northern New England,1,5894
170,2015-01-11,1.29,202034,119336,39236,52,43410.02,18762.45,24647.57,0.0,conventional,2015,Orlando,1,43410
171,2015-01-11,1.92,1610,1290,53,0,266.67,266.67,0.0,0.0,organic,2015,Orlando,1,267
172,2015-01-11,1.38,315984,14323,198387,1715,101558.06,88980.0,12578.06,0.0,conventional,2015,Philadelphia,1,101559
173,2015-01-11,1.63,6715,428,1809,4,4472.33,4465.66,6.67,0.0,organic,2015,Philadelphia,1,4474
174,2015-01-11,0.61,1110753,849580,182629,12237,66305.28,66305.28,0.0,0.0,conventional,2015,Phoenix/Tucson,1,66307
175,2015-01-11,1.36,14035,11523,1632,0,879.26,876.68,2.58,0.0,organic,2015,Phoenix/Tucson,1,880
176,2015-01-11,1.54,54644,1491,33759,1325,18068.15,12165.94,5902.21,0.0,conventional,2015,Pittsburgh,1,18069
177,2015-01-11,1.82,1663,767,328,0,567.68,564.2,3.48,0.0,organic,2015,Pittsburgh,1,568
178,2015-01-11,1.09,1402841,737363,448207,10009,207260.73,205299.64,954.59,1006.5,conventional,2015,Plains,1,207262
179,2015-01-11,1.68,37617,6636,15284,4,15692.82,13774.1,1918.72,0.0,organic,2015,Plains,1,15693
180,2015-01-11,1.05,510152,121596,292968,22743,72844.44,64831.61,8012.83,0.0,conventional,2015,Portland,1,72845
181,2015-01-11,1.22,43116,18893,19745,0,4477.36,480.0,3997.36,0.0,organic,2015,Portland,1,4478
182,2015-01-11,1.24,205760,43986,54185,41272,66316.08,50818.2,15497.88,0.0,conventional,2015,Raleigh/Greensboro,1,66317
183,2015-01-11,1.98,3862,31,1957,672,1200.59,1195.75,4.84,0.0,organic,2015,Raleigh/Greensboro,1,1202
184,2015-01-11,1.15,194460,71743,66849,10952,44915.4,36160.54,8754.86,0.0,conventional,2015,Richmond/Norfolk,1,44916
185,2015-01-11,1.66,2914,143,2060,270,439.21,412.81,26.4,0.0,organic,2015,Richmond/Norfolk,1,441
186,2015-01-11,1.16,113235,45706,37629,57,29842.1,26555.99,3286.11,0.0,conventional,2015,Roanoke,1,29843
187,2015-01-11,1.47,5128,82,4065,0,979.65,806.48,173.17,0.0,organic,2015,Roanoke,1,981
188,2015-01-11,1.09,429492,109368,271300,5094,43729.56,43722.89,6.67,0.0,conventional,2015,Sacramento,1,43730
189,2015-01-11,1.27,7598,4243,3033,0,321.28,321.28,0.0,0.0,organic,2015,Sacramento,1,322
190,2015-01-11,0.82,544667,303369,192913,12900,35484.4,31807.96,3271.85,404.59,conventional,2015,San Diego,1,35485
191,2015-01-11,1.05,20089,18294,767,1,1025.96,1025.96,0.0,0.0,organic,2015,San Diego,1,1027
192,2015-01-11,1.03,916450,155455,670522,4107,86365.43,85706.54,658.89,0.0,conventional,2015,San Francisco,1,86366
193,2015-01-11,1.12,29676,17907,11586,0,182.83,182.83,0.0,0.0,organic,2015,San Francisco,1,183
194,2015-01-11,1.06,527350,144349,278069,18076,86855.48,81221.3,5632.65,1.53,conventional,2015,Seattle,1,86856
195,2015-01-11,1.46,46687,8691,33361,13,4620.02,223.33,4396.69,0.0,organic,2015,Seattle,1,4622
196,2015-01-11,1.1,279706,162428,39713,14197,63367.54,44864.96,18502.58,0.0,conventional,2015,South Carolina,1,63368
197,2015-01-11,2.06,2304,474,793,357,677.93,674.61,3.32,0.0,organic,2015,South Carolina,1,680
198,2015-01-11,0.8,5409726,2973367,1717171,88373,630813.48,533599.2,97164.07,50.21,conventional,2015,South Central,1,630815
199,2015-01-11,1.39,53328,27767,8596,0,16963.95,16873.34,90.61,0.0,organic,2015,South Central,1,16965
200,2015-01-11,1.18,2433295,1667012,269027,21918,475337.14,260164.0,215173.14,0.0,conventional,2015,Southeast,1,475338
201,2015-01-11,1.83,23690,10166,4678,524,8321.58,8164.48,157.1,0.0,organic,2015,Southeast,1,8322
202,2015-01-11,1.07,70697,21973,35996,4131,8595.05,6899.1,1695.95,0.0,conventional,2015,Spokane,1,8597
203,2015-01-11,1.38,4780,1159,3192,1,427.05,140.0,287.05,0.0,organic,2015,Spokane,1,428
204,2015-01-11,1.29,164917,79292,41050,62,44511.92,44509.7,2.22,0.0,conventional,2015,St. Louis,1,44513
205,2015-01-11,1.84,3762,1908,1590,0,263.33,263.33,0.0,0.0,organic,2015,St. Louis,1,264
206,2015-01-11,1.45,42017,984,21576,14,19441.98,19441.98,0.0,0.0,conventional,2015,Syracuse,1,19443
207,2015-01-11,1.66,762,1,195,0,565.4,565.4,0.0,0.0,organic,2015,Syracuse,1,566
208,2015-01-11,1.24,235231,142237,36017,56,56919.19,19605.39,37313.8,0.0,conventional,2015,Tampa,1,56921
209,2015-01-11,1.84,1258,814,44,0,400.0,400.0,0.0,0.0,organic,2015,Tampa,1,400
210,2015-01-11,1.01,29063542,11544810,12134773,866574,4517384.18,3783261.16,718333.87,15789.15,conventional,2015,Total U.S.,1,4517385
211,2015-01-11,1.42,669528,270966,260971,3830,133760.12,106844.49,26915.63,0.0,organic,2015,Total U.S.,1,133761
212,2015-01-11,0.95,5333097,2203111,2292761,127412,709812.44,598705.08,111073.82,33.54,conventional,2015,West,1,709813
213,2015-01-11,1.39,223156,80139,111395,63,31558.5,9296.76,22261.74,0.0,organic,2015,West,1,31559
214,2015-01-11,0.92,584896,347125,129717,27944,80109.87,78503.46,1606.41,0.0,conventional,2015,West Tex/New Mexico,1,80110
215,2015-01-11,1.69,6861,1822,2377,0,2661.91,2656.66,5.25,0.0,organic,2015,West Tex/New Mexico,1,2662
216,2015-01-18,1.17,44511,914,31540,135,11921.05,11651.09,269.96,0.0,conventional,2015,Albany,1,11922
217,2015-01-18,1.93,1118,8,178,0,931.67,931.67,0.0,0.0,organic,2015,Albany,1,932
218,2015-01-18,1.11,431490,372236,18701,511,40040.48,16782.71,23257.77,0.0,conventional,2015,Atlanta,1,40042
219,2015-01-18,1.86,4294,2138,989,0,1166.1,1019.34,146.76,0.0,organic,2015,Atlanta,1,1167
220,2015-01-18,1.23,657741,49947,393359,40576,173858.5,169390.88,4467.62,0.0,conventional,2015,Baltimore/Washington,1,173859
221,2015-01-18,1.41,14057,8148,4725,659,523.57,461.75,61.82,0.0,organic,2015,Baltimore/Washington,1,525
222,2015-01-18,1.08,62870,50354,6342,2257,3915.94,1119.18,2796.76,0.0,conventional,2015,Boise,1,3917
223,2015-01-18,1.44,2973,8,2513,0,451.75,143.33,308.42,0.0,organic,2015,Boise,1,452
224,2015-01-18,1.23,401331,4383,287778,132,109036.52,108668.74,367.78,0.0,conventional,2015,Boston,1,109038
225,2015-01-18,2.0,2209,4,834,0,1370.78,1370.78,0.0,0.0,organic,2015,Boston,1,1371
226,2015-01-18,1.52,107040,1625,61859,133,43421.89,43419.67,2.22,0.0,conventional,2015,Buffalo/Rochester,1,43423
227,2015-01-18,1.64,1426,91,137,0,1197.53,1197.53,0.0,0.0,organic,2015,Buffalo/Rochester,1,1198
228,2015-01-18,1.02,5570915,2780859,2108450,121614,559990.93,520299.26,36501.18,3190.49,conventional,2015,California,1,559992
229,2015-01-18,1.24,195207,123138,58616,0,13453.15,13453.15,0.0,0.0,organic,2015,California,1,13453
